product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,source_creator,source_creator_name,source_creator_revenue,source_creator_rank,source_creators_all,creator_item_sold,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
"Halara Women's High Waisted Straight Leg Work Trousers with Side Pockets, Smart & Casual Look for Office and Beyond, Lightweight & Elegant, Minimalist Comfort Basic Womenswear #tik",halara-women-s-high-waisted-straight-leg-1729429759208230637.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/aab37bb35c554335a07ea2801f4ee302~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,30.92,149880.0,,11.0,3.4,,7,halara uk,https://shop.tiktok.com/view/product/1729429759208230637,@camilla.finds,Cami,504410.0,1,@camilla.finds,4870.0,The Halara Women's High Waisted Straight Leg Work Tr is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"Halara Flex High Waisted Work Pants — Slight Flare & No Zippers for All-Day Comfort, 4-Way Stretch Office to Off-Duty Trousers with Back Pockets #tiktokshopmademebuylt #summer #dea",halara-flex-high-waisted-work-pants-slig-1729469133401459954.jpg,https://p16-oec-general.tiktokcdn-eu.com/tos-alisg-i-aphluv4xwc-sg/75a30909838d4ffabc17205c74b6b6a6~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,30.63,81840.0,,10.0,3.06,,7,halara.wardrobe,https://shop.tiktok.com/view/product/1729469133401459954,@camilla.finds,Cami,504410.0,1,@camilla.finds,2800.0,Do NOT scroll past the Halara Flex High Waisted Work Pants — Slight Fla if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"BellaVita Luxury's Honey Oud | Eau de Parfum | Patchouli, Vanilla, Bergamot | Floral & Spicy | Made with Clean & Vegan Essentials Oils",bellavita-luxury-s-honey-oud-eau-de-parf-1729466893833768299.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/2d5aeac3463c49c081fb80e409b31d17~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,25.72,32570.0,,12.0,3.09,,9,bellavita uk,https://shop.tiktok.com/view/product/1729466893833768299,@camilla.finds,Cami,504410.0,1,@camilla.finds,1290.0,Do NOT scroll past the BellaVita Luxury's Honey Oud if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
The Sigma Male by Bellavita Luxury | 2x100ml Perfumes | Summer Gift Essential | CEO Man & G.O.A.T. Man | Perfume for Men | Long Lasting Fragrance | Eau De Parfum | For Summer Holid,the-sigma-male-by-bellavita-luxury-2x100-1729561520773765483.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/c4bef4f82ee84d8b9da4f27a42f9f747~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,40.38,31590.0,,10.0,4.04,,7,bellavita uk,https://shop.tiktok.com/view/product/1729561520773765483,@camilla.finds,Cami,504410.0,1,@camilla.finds,791.0,Me telling you to grab the The Sigma Male by Bellavita Luxury before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
FeelinGirl  Seamless Covered Bust Jumpsuit Thong Bodysuit Fit Comfort  Womenswear 1 Breathable Hip Tops Nylon,feelingirl-seamless-covered-bust-jumpsui-1729456099251949261.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/15feb10e82af45bebd9f2f3b07ba4b70~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,29.77,17810.0,,12.0,3.57,,9,FeelinGirl-UK,https://shop.tiktok.com/view/product/1729456099251949261,@camilla.finds,Cami,504410.0,1,@camilla.finds,611.0,Adding the FeelinGirl  Seamless Covered Bust Jumpsuit Thong to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"PUFFIT STM-TEX Elevated Cropped Rain Jacket With Drawstring Hem,WaterProof,Stain Resistant,Windproof,Women's Rain Jacket,Breathable Stylish,Outdoor Sport,Autumn Jacket,School Runni",puffit-stm-tex-elevated-cropped-rain-jac-1729806780608781101.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/4881f7185f014247b8b988e25f163511~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,47.36,15440.0,,8.0,3.79,,10,PUFFIT.UK.SHOP,https://shop.tiktok.com/view/product/1729806780608781101,@camilla.finds,Cami,504410.0,1,@camilla.finds,324.0,"If you have been waiting on the PUFFIT STM-TEX Elevated Cropped Rain Jacket With, now is the time. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"Long Sleeve Collared Denim Jacket for Women, Drop Shoulder Curved Hem Denim, Classic Button Down Denim Jacket with Chest Pockets, Fashion Women's Clothing for Daily Wear, Vintage W",long-sleeve-collared-denim-jacket-for-wo-1729406811286244600.jpg,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/6d53a97367c94c15b3cb18198b5366b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,38.52,18460.0,,8.0,3.08,,7,PAOLA RIBONI,https://shop.tiktok.com/view/product/1729406811286244600,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,501.0,The Long Sleeve Collared Denim Jacket for Women everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
"PUFFIT STM-TEX Short Oversized Rain Jacket With Bubble Hem,Loose Fit,Autumn Hooded Jacket,Waterproof Jacket,Lightweight,Wide-Brim Hood,Adjustable Cuffs,Outdoor,Winter Jacket,Windbr",puffit-stm-tex-short-oversized-rain-jack-1729758200487320365.jpg,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/a5ba23606547422f8d4a9460cc137cca~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,55.0,14680.0,,8.0,4.4,,9,PUFFIT.UK.SHOP,https://shop.tiktok.com/view/product/1729758200487320365,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,278.0,The PUFFIT STM-TEX Short Oversized Rain Jacket With  everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
FYNE Golden FYNE’D Bundles,fyne-golden-fyne-d-bundles-1729912885134727551.jpg,https://img.kalocdn.com/tiktok.product.images/tos-no1a-i-t5fjg24jzw-no/249d6cfd584c484bb2543d7286daf52d.png,40.64,12060.0,,10.0,4.06,,8,fyne cosmetics,https://shop.tiktok.com/view/product/1729912885134727551,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,297.0,Do NOT scroll past the FYNE Golden FYNE’D Bundles if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",PASSED,,,GB,GBP
THESE WERE CUT,,,,,,,,,,,,,,,,,,,,SECTION,,,GB,GBP
