product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,source_creator,source_creator_name,source_creator_revenue,source_creator_rank,source_creators_all,creator_item_sold,caption,scene_prompt
"3-Pack Men’s Polo Shirts – Soft Breathable Short Sleeve Polos, Comfortable Casual Fit, Classic Collared Shirts for Work, Golf & Everyday Wear",3-pack-men-s-polo-shirts-soft-breathable-1732187493124182310.jpg,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5a0e195ac3da44369da642185e4d5111~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,42.91,23450.0,,10.0,4.29,,7,viligo,https://shop.tiktok.com/view/product/1732187493124182310,@themexicandadshop,TheMexicanDad,418010.0,1,@themexicandadshop,564.0,This is your sign to finally grab the 3-Pack Men’s Polo Shirts – Soft Breathable Short. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"3 Pack Mens Polo Shirts Lightweight Soft Breathable Moisture-Wicking Stretch Short Sleeve Polo Print Collared Golf Casual T-Shirt,  Office & Daily Wear Menswear Top Beige Plain,clo",3-pack-mens-polo-shirts-lightweight-soft-1732303641267901267.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/0869a7d7080d4840a614c6e7f5043718~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,44.39,16660.0,,10.0,4.44,,7,viligo mens,https://shop.tiktok.com/view/product/1732303641267901267,@themexicandadshop,TheMexicanDad,418010.0,1,@themexicandadshop,374.0,Me telling you to grab the 3 Pack Mens Polo Shirts Lightweight Soft Breatha before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"JMIERR Mens 3 Pack Cotton Hipster Hip Hop Longline Crewneck T-Shirt,Menswear Casual Tshirt Tops,TikTokShopfalldealsforyou",jmierr-mens-3-pack-cotton-hipster-hip-ho-1729536699344130411.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/369bba50137b406491ad753e93e4e7ce~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,38.3,14760.0,,10.0,3.83,,10,jmierr,https://shop.tiktok.com/view/product/1729536699344130411,@themexicandadshop,TheMexicanDad,418010.0,1,@themexicandadshop,372.0,The JMIERR Mens 3 Pack Cotton Hipster Hip Hop Longli everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Gihuo Mens Unisex Sweat Shorts Cotton Athletic Shorts Vintage Acid Wash Elastic Waist Drawstring Workout Shorts with Pockets Womenswear Basic Bottom Casual Minimalist,gihuo-mens-unisex-sweat-shorts-cotton-at-1732278037739376896.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/edad2c34b605419082ab1f7c980bbfae~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,38.57,25250.0,,10.0,3.86,,8,gxe,https://shop.tiktok.com/view/product/1732278037739376896,@superbhealth,superbhealth,326870.0,2,@superbhealth,655.0,Me telling you to grab the Gihuo Mens Unisex Sweat Shorts Cotton Athletic S before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"【Deals for You】GTPLAYER Ergonomic Office Gaming Chair - Pocket Spring Cushion, Memory Foam Lumbar Pillow, Reclining Mesh Swivel Rolling Task Chair Furniture,Easy Assembly,Comfortab",deals-for-you-gtplayer-ergonomic-office--1729413349846389729.jpg,https://p16-oec-general-useast8.ttcdn-us.com/tos-useast8-i-rt0ujvrtvp-tx2/029c294d1d2c43a99a4aad08e3cde821~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,109.99,19160.0,,6.0,6.6,,7,gtracing,https://shop.tiktok.com/view/product/1729413349846389729,@superbhealth,superbhealth,326870.0,2,@superbhealth,220.0,"I am so sorry if you already grabbed an 【Deals for You】GTPLAYER Ergonomic Office Gaming , because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Comfrt | Signature Straight Leg Sweatpants | Elevated Soft Loungewear Pants,comfrt-signature-straight-leg-sweatpants-1730778166481621891.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4162f86a8086482e80e514f46627b48a~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,36.96,14230.0,,10.0,3.7,,8,comfrt,https://shop.tiktok.com/view/product/1730778166481621891,@superbhealth,superbhealth,326870.0,2,@superbhealth,394.0,Stop overthinking the Comfrt and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Haus | Premium Ultra-Soft Cotton Fitted Tanks 3 Pack / 6 Pack,haus-premium-ultra-soft-cotton-fitted-ta-1729440960491066026.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b99b1536fdde461698e557b87a4fafd1~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,30.51,13500.0,,10.0,3.05,,7,squidhaus,https://shop.tiktok.com/view/product/1729440960491066026,@superbhealth,superbhealth,326870.0,2,@superbhealth,442.0,"I am so sorry if you already grabbed an Haus, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
COOFANDY Mens Sport Coat Casual Blazer One Button Business Suit Jacket Classic Menswear Fashion Outfit Vneck Long Sleeve,coofandy-mens-sport-coat-casual-blazer-o-1729430076357382153.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b612004ff8094ce984c6a9ab44a7c8b4~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,78.46,53770.0,,10.0,7.85,,9,coofandy,https://shop.tiktok.com/view/product/1729430076357382153,@luiseltigree,luiseltigree,306830.0,3,@luiseltigree,716.0,The COOFANDY Mens Sport Coat Casual Blazer One Butto everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Bourvill 899-Piece Tool Set - High-Capacity Portable Metal Tool Case,Wheeled Mobile Tool Cabinet, and 4-Tier Aluminum Alloy Storage Unit- A Complete Kit for Mechanical Repair & Hom",bourvill-899-piece-tool-set-high-capacit-1731368219835339657.jpg,https://p16-oec-general-useast8.ttcdn-us.com/tos-useast8-i-rt0ujvrtvp-tx2/8a40feeb876948f49618be4ce3de727b~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,88.96,50390.0,,5.0,4.45,,9,bourvill tool,https://shop.tiktok.com/view/product/1731368219835339657,@luiseltigree,luiseltigree,306830.0,3,@luiseltigree,570.0,"I am so sorry if you already grabbed an Bourvill 899-Piece Tool Set - High-Capacity Port, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"【SohoChic】NORTIV 8 Men's Ankle-High Nano Composite Toe Work Safety Boots, Nylon Cuban Lace-Up with Side Zipper, EVA, All-Seasons Impact-Safe Closed Warehouse Carpenter Footwear",sohochic-nortiv-8-men-s-ankle-high-nano--1731429351138496909.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f359b1e3e287498290807b791b7c4dbe~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,57.53,30370.0,,11.0,6.33,,8,nortiv 8,https://shop.tiktok.com/view/product/1731429351138496909,@luiseltigree,luiseltigree,306830.0,3,@luiseltigree,509.0,I can not believe how good the 【SohoChic】NORTIV 8 Men's Ankle-High Nano Composi is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
